word,valence,arousal,dominance,concreteness,SUBTLEX,aoa
aardvark,6.26,2.41,4.27,4.68,21.0,9.89
abalone,5.3,2.65,4.95,,,12.23
abandon,2.84,3.73,3.32,2.54,413.0,8.32
abandonment,2.63,4.95,2.64,2.54,49.0,10.27
abbey,5.85,2.2,5.0,,,13.06
abdomen,5.43,3.68,5.15,4.7,171.0,8.61
abdominal,4.48,3.5,5.32,4.28,174.0,10.24
abduct,2.42,5.9,2.75,2.88,36.0,11.26
abduction,2.05,5.33,3.02,3.07,185.0,11.94
abide,5.52,3.26,5.33,1.68,138.0,9.5
abiding,5.57,3.59,6.6,2.07,25.0,10.3
ability,7.0,4.85,6.55,1.81,980.0,8.84
abject,4.0,3.94,4.35,1.67,20.0,14.0
ablaze,5.15,6.75,4.58,3.82,21.0,10.83
able,6.64,3.38,6.17,2.38,8155.0,7.79
abnormal,3.53,4.48,4.7,2.14,148.0,10.05
abnormality,3.05,5.0,3.96,2.48,26.0,11.58
abode,5.28,2.9,5.05,3.92,33.0,12.06
abolish,3.84,4.18,4.65,2.19,24.0,10.42
abominable,4.05,5.45,4.62,1.89,32.0,8.94
abomination,2.5,5.9,3.8,2.23,58.0,11.17
abort,3.1,5.8,3.38,2.83,235.0,12.21
abortion,2.58,5.43,4.73,3.41,369.0,13.21
abracadabra,5.11,5.27,4.96,2.04,53.0,6.89
abrasive,4.26,6.1,4.94,3.03,23.0,12.22
abreast,4.62,4.61,5.19,2.23,26.0,13.06
abrupt,3.28,5.23,3.75,2.27,58.0,10.95
abscess,2.79,4.0,3.95,4.48,25.0,13.11
absence,3.86,4.3,4.24,2.31,322.0,7.7
absent,4.1,3.72,4.21,2.7,131.0,6.5
absinthe,3.53,3.7,3.95,4.3,28.0,16.29
absolute,5.43,3.48,5.58,1.81,577.0,8.53
absolution,6.58,3.38,5.75,1.78,48.0,11.71
absolve,4.58,3.53,4.82,1.85,29.0,12.9
absorb,5.5,4.27,5.62,3.11,101.0,8.83
abstain,4.4,3.1,6.08,2.38,26.0,12.95
abstinence,3.43,3.15,5.64,1.72,45.0,12.74
abstract,5.25,3.96,5.53,1.45,111.0,11.47
absurd,4.45,4.02,5.06,1.64,495.0,10.5
absurdity,4.06,4.7,5.37,1.25,32.0,13.21
abundance,6.67,4.72,5.66,2.21,45.0,10.45
abundant,7.55,4.21,5.81,2.83,29.0,12.84
abuse,1.53,6.21,2.9,2.71,523.0,8.61
abusive,2.05,5.27,3.58,2.55,83.0,9.58
abysmal,3.45,3.91,3.76,,,13.78
