word,aoa,valence,arousal,dominance,concreteness
mama,2.04,5.88,4.44,4.86,3.6
ja,2.25,,,,1.53
mamma,2.33,,,,2.92
papa,2.34,5.59,4.42,5.08,3.0
nee,2.56,,,,2.47
kaka,2.61,,,,4.73
pappa,2.76,,,,3.1
ikke,2.9,,,,2.33
tutje,2.94,,,,4.36
tuut,2.96,,,,
neen,2.97,,,,2.0
woef,3.04,,,,
ik,3.06,,,,2.8
ai,3.19,,,,1.5
plassen,3.25,3.8,4.45,3.66,4.13
bah,3.33,,,,2.0
drie,3.41,,,,3.2
koek,3.45,4.97,3.39,3.67,4.8
eten,3.46,5.45,4.08,4.22,4.6
papje,3.54,,,,
drinken,3.56,4.78,4.45,4.25,4.07
slapen,3.57,5.5,1.91,3.64,3.67
pepe,3.6,,,,
school,3.61,4.56,4.33,4.3,4.27
bal,3.63,4.58,4.53,3.8,5.0
water,3.67,4.95,3.78,4.23,4.8
boom,3.69,4.78,2.97,4.45,4.73
melk,3.69,4.63,3.19,3.59,4.8
een,3.7,,,,2.13
toet,3.71,,,,
schoen,3.71,4.31,3.53,3.69,4.8
hallo,3.73,,,,1.93
hand,3.73,4.36,3.95,4.03,4.87
zusje,3.74,,,,
beertje,3.75,,,,4.87
hond,3.76,4.73,4.79,4.09,5.0
bed,3.76,5.11,2.34,3.88,4.8
broer,3.76,5.31,4.02,4.39,3.33
slaapwel,3.78,,,,1.67
buik,3.78,4.05,3.67,3.75,4.53
mond,3.78,4.44,4.17,4.06,4.73
voeten,3.79,,,,4.93
pijn,3.79,1.89,5.11,4.63,3.29
speelgoed,3.84,5.2,4.55,3.61,4.13
verjaardag,3.84,5.75,5.22,4.5,3.33
pop,3.84,4.22,3.09,3.28,4.27
dada,3.85,,,,1.93
jongen,3.85,4.67,4.52,4.39,4.67
twee,3.85,,,,3.13
jas,3.85,4.38,3.23,3.81,4.8
meisje,3.89,5.13,4.48,3.55,4.67
zeep,3.9,4.55,3.2,3.69,4.87
spelen,3.9,5.41,5.25,4.13,3.53
wc,3.9,,,,
rood,3.91,4.39,4.38,4.63,4.33
kat,3.92,4.72,4.56,3.73,4.87
boem,3.93,,,,2.86
hoofd,3.93,4.3,4.08,4.44,4.8
appel,3.94,4.77,3.3,3.8,4.67
je,3.94,,,,1.87
kusje,3.94,,,,
stoel,3.95,4.25,2.75,3.73,4.67
neus,3.95,4.06,3.47,3.88,4.93
kleuren,3.96,5.22,4.16,4.33,4.13
niet,3.96,2.92,3.08,3.88,1.2
televisie,3.96,4.95,3.89,4.23,4.8
geel,3.98,4.36,3.64,3.73,3.8
opa,3.98,5.17,3.0,3.94,3.4
vader,3.99,5.61,4.48,5.0,3.13
moeder,3.99,5.73,4.13,4.58,3.0
handen,4.0,,,,4.8
hom,4.0,,,,4.25
brood,4.01,4.75,3.41,3.86,5.0
duim,4.01,4.38,3.67,3.88,5.0
vier,4.01,,,,3.33
pap,4.01,4.31,3.13,3.14,4.0
sint,4.02,5.05,4.0,4.05,
goed,4.03,5.84,4.23,4.83,1.47
klein,4.03,3.7,3.19,2.59,2.73
stout,4.03,3.16,4.95,4.23,2.27
tafel,4.03,4.2,3.19,3.89,4.93
piep,4.04,,,,
groen,4.04,4.83,3.42,3.86,4.2
mam,4.04,,,,3.46
onderbroek,4.05,,,,4.73
tekening,4.06,,,,4.6
vinger,4.07,4.31,3.95,3.63,4.87
dier,4.07,4.73,4.62,4.11,3.73
teen,4.08,3.84,3.53,3.42,5.0
been,4.09,4.25,3.92,4.0,5.0
hebben,4.09,4.5,4.06,4.7,1.87
koud,4.09,2.92,3.45,3.97,3.73
poes,4.09,4.88,4.16,3.36,4.67
kleurtjes,4.1,,,,
voet,4.11,4.13,3.69,3.63,4.87
oog,4.11,4.48,4.08,3.91,5.0
kakken,4.11,,,,4.27
tiktak,4.11,,,,3.79
gras,4.12,4.84,3.06,3.42,4.93
kijk,4.14,,,,3.0
lopen,4.14,4.36,5.31,4.3,3.93
moe,4.14,2.77,2.25,3.23,2.79
zus,4.14,5.27,4.19,4.05,3.07
blauw,4.14,4.45,3.38,4.0,4.53
dorst,4.15,3.2,4.21,4.23,3.27
kleuterklas,4.15,,,,3.47
honger,4.15,2.73,4.38,4.39,3.47
wenen,4.15,2.55,4.7,2.9,4.6
vijf,4.16,,,,3.0
asjeblieft,4.17,,,,1.6
en,4.17,,,,1.2
poesje,4.17,,,,4.2
kind,4.17,5.05,5.02,3.19,4.67
koe,4.17,4.31,3.55,3.81,5.0
snoep,4.19,5.27,3.65,3.91,4.6
schoenen,4.19,,,,4.87
lepel,4.19,4.22,3.34,3.75,4.93
broek,4.19,4.36,3.17,3.94,5.0
kleurpotloden,4.2,,,,
aap,4.21,4.5,5.16,3.97,4.73
bad,4.21,4.81,2.75,3.83,4.67
knuffel,4.21,6.0,4.14,4.16,4.6
zitten,4.21,4.44,2.95,3.72,4.33
zwaaien,4.21,4.69,4.94,4.05,4.0
beer,4.22,4.33,5.06,5.45,4.93
auto,4.22,4.53,4.84,4.72,5.0
klas,4.22,4.33,4.47,4.08,4.07
mij,4.22,,,,1.53
huis,4.24,4.94,3.19,4.38,4.93
vogel,4.24,4.66,4.41,3.55,4.87
knuffelbeest,4.25,,,,4.2
baby,4.25,5.45,4.64,2.72,4.67
sneeuw,4.26,4.91,3.39,3.77,4.8
bloem,4.27,5.31,3.19,3.53,4.67
piama,4.27,,,,
braaf,4.28,4.94,3.06,3.34,1.87
groot,4.28,4.78,4.28,5.11,3.2
mooi,4.28,6.13,4.2,4.78,2.07
op,4.28,,,,1.87
tekenen,4.28,,,,4.0
toilet,4.28,3.88,3.39,3.5,4.87
zoen,4.3,6.02,5.2,4.61,4.67
arm,4.3,3.36,3.55,3.48,4.13
stiften,4.3,,,,
haar,4.31,4.53,3.47,3.52,4.73
spel,4.31,5.2,5.0,4.19,4.2
pyjama,4.31,,,,4.73
stop,4.32,3.36,3.35,4.58,3.8
zwart,4.33,3.61,3.14,4.92,4.27
foei,4.33,,,,1.93
of,4.33,,,,1.07
blij,4.34,6.25,5.36,4.95,2.27
bravo,4.34,5.56,4.55,4.7,1.87
donker,4.34,3.34,3.5,4.33,4.0
hap,4.34,4.34,4.17,3.95,3.93
komen,4.34,4.63,4.8,4.11,3.33
kus,4.34,6.19,5.19,4.89,4.73
leuk,4.34,5.94,4.83,4.42,1.8
zien,4.34,4.81,4.42,4.17,3.93
oma,4.34,5.3,2.98,3.66,3.87
zon,4.35,6.13,4.2,5.52,4.4
moeke,4.35,,,,3.57
naam,4.36,4.44,3.48,4.19,2.6
bruin,4.37,4.27,3.28,3.88,3.8
kip,4.37,4.39,4.25,3.19,4.87
ijsje,4.38,5.58,3.67,3.31,4.93
kerstboom,4.39,,,,4.53
kleren,4.39,,,,4.33
kleur,4.4,4.89,3.64,4.11,3.07
choco,4.4,,,,4.6
teddybeer,4.4,,,,4.73
gaan,4.4,4.27,4.66,4.23,2.8
huilen,4.4,2.38,5.02,2.86,4.13
ogen,4.4,4.95,4.19,4.14,5.0
zwijgen,4.4,3.66,2.39,3.38,3.53
hoera,4.4,,,,2.0
jasje,4.41,,,,4.8
zand,4.41,4.41,2.7,3.47,4.93
katje,4.42,,,,4.8
fiets,4.42,4.66,4.52,3.98,4.93
man,4.44,4.7,4.17,4.91,4.27
jongens,4.44,,,,4.47
koekjes,4.44,,,,4.8
oren,4.44,,,,4.93
speelplaats,4.44,,,,4.53
deur,4.44,4.13,3.56,3.94,4.93
trap,4.45,3.97,3.91,4.16,4.73
bang,4.45,,,,2.6
jaar,4.45,4.22,3.44,4.02,2.07
puzzel,4.46,4.69,3.27,3.64,4.67
tutter,4.46,,,,4.6
dag,4.46,4.61,3.94,4.05,3.0
hoog,4.46,4.34,4.45,4.8,3.13
kijken,4.46,4.56,4.25,4.02,3.67
kruipen,4.46,3.64,4.19,2.83,4.07
vallen,4.46,2.89,4.91,3.19,3.8
willen,4.46,4.63,4.75,4.53,1.73
juf,4.46,4.63,4.54,4.33,3.6
patatjes,4.47,,,,4.67
kleurboek,4.47,,,,4.6
oei,4.47,,,,1.0
banaan,4.48,,,,5.0
oor,4.48,4.25,3.69,3.7,4.8
ballon,4.48,4.97,3.55,3.19,4.93
ei,4.49,4.44,2.97,3.17,5.0
regen,4.49,3.45,4.3,4.09,4.6
boot,4.5,4.7,3.88,4.36,4.8
jarig,4.5,,,,1.73
prinses,4.5,,,,3.67
vingers,4.5,,,,4.87
zes,4.5,,,,3.47
konijn,4.5,4.7,4.38,3.03,4.93
kous,4.5,3.91,2.94,3.38,4.67
knuffelbeer,4.51,,,,4.73
ma,4.51,,,,3.2
pang,4.52,,,,
lekker,4.53,6.08,4.14,4.89,2.47
veel,4.53,4.77,4.53,5.11,1.77
vis,4.53,4.34,4.16,3.38,4.73
muis,4.54,3.8,4.36,2.75,5.0
vork,4.54,4.05,3.5,4.14,4.87
wit,4.54,4.41,3.22,3.42,4.4
kousen,4.54,,,,4.67
stil,4.54,4.13,1.84,3.31,3.2
hoofdje,4.55,,,,4.47
katten,4.55,,,,4.53
morsen,4.55,,,,4.0
boek,4.55,4.89,3.11,4.02,4.93
jou,4.56,,,,1.87
kleurpotlood,4.56,,,,4.93
snottebel,4.56,,,,4.13
zeven,4.56,,,,3.4
tong,4.57,4.45,4.23,3.95,5.0
raam,4.58,4.33,3.09,3.7,4.87
doen,4.59,4.72,4.92,4.69,1.93
horen,4.59,4.59,4.22,4.16,3.53
ijs,4.59,5.0,3.31,3.91,4.8
lachen,4.59,6.36,5.34,4.8,3.93
moeten,4.59,3.06,4.86,4.53,2.0
nat,4.59,3.69,3.75,3.45,4.53
springen,4.59,4.48,5.36,4.34,4.4
vies,4.59,2.33,3.8,3.67,3.0
wakker,4.59,4.89,4.69,4.39,3.07
praten,4.59,5.0,4.79,4.39,3.87
